6,0.0,2016.0
5,15.977,2016.0
7,7.989,2016.0
11,3.994,2016.0
10,7.989,2016.0
1,11.983,2016.0
4,19.972,2016.0
3,0.0,2016.0
9,19.972,2016.0
0,3.994,2016.0
8,7.989,2016.0
2,15.977,2016.0
11,27.729,2017.0
1,11.884,2017.0
8,11.884,2017.0
3,0.0,2017.0
6,7.923,2017.0
10,7.923,2017.0
0,7.923,2017.0
9,15.845,2017.0
2,11.884,2017.0
4,11.884,2017.0
7,11.884,2017.0
5,27.729,2017.0
1,35.341,2018.0
4,19.634,2018.0
0,27.487,2018.0
8,19.634,2018.0
2,15.707,2018.0
10,19.634,2018.0
7,23.56,2018.0
9,23.56,2018.0
11,19.634,2018.0
5,27.487,2018.0
3,19.634,2018.0
6,19.634,2018.0
5,19.494,2019.0
1,15.595,2019.0
7,15.595,2019.0
2,15.595,2019.0
10,15.595,2019.0
4,35.09,2019.0
8,11.697,2019.0
11,7.798,2019.0
9,3.899,2019.0
0,7.798,2019.0
3,19.494,2019.0
6,19.494,2019.0
5,30.92,2020.0
1,38.651,2020.0
9,23.19,2020.0
7,19.325,2020.0
11,23.19,2020.0
4,23.19,2020.0
8,34.786,2020.0
0,19.325,2020.0
10,23.19,2020.0
3,15.46,2020.0
2,54.111,2020.0
6,50.246,2020.0
5,34.687,2021.0
10,88.645,2021.0
2,53.958,2021.0
9,69.375,2021.0
0,38.541,2021.0
4,53.958,2021.0
8,46.25,2021.0
11,42.396,2021.0
7,57.812,2021.0
3,38.541,2021.0
6,38.541,2021.0
1,38.541,2021.0
5,34.406,2022.0
0,19.114,2022.0
10,15.291,2022.0
2,64.988,2022.0
9,57.343,2022.0
4,72.634,2022.0
8,22.937,2022.0
11,26.76,2022.0
7,53.52,2022.0
3,107.039,2022.0
1,38.228,2022.0
6,22.937,2022.0
5,97.476,2023.0
2,37.491,2023.0
10,41.24,2023.0
9,56.236,2023.0
4,52.487,2023.0
8,78.731,2023.0
11,59.985,2023.0
7,78.731,2023.0
3,74.982,2023.0
1,44.989,2023.0
6,78.731,2023.0
0,101.225,2023.0
11,18.277,2024.0
2,7.311,2024.0
10,21.932,2024.0
9,3.655,2024.0
4,32.899,2024.0
8,32.899,2024.0
7,32.899,2024.0
3,32.899,2024.0
1,18.277,2024.0
0,36.554,2024.0
6,10.966,2024.0
5,14.622,2024.0
5,3.587,2025.0
11,21.519,2025.0
2,10.76,2025.0
10,3.587,2025.0
9,3.587,2025.0
4,17.933,2025.0
8,14.346,2025.0
1,7.173,2025.0
7,14.346,2025.0
0,7.173,2025.0
3,7.173,2025.0
6,17.933,2025.0
4,10.754,2026.0
7,10.754,2026.0
3,7.169,2026.0
