6,15.079,2016.0
5,7.539,2016.0
7,5.026,2016.0
11,2.513,2016.0
10,10.053,2016.0
1,7.539,2016.0
4,15.079,2016.0
3,10.053,2016.0
9,5.026,2016.0
0,10.053,2016.0
8,12.566,2016.0
2,10.053,2016.0
11,17.729,2017.0
1,5.065,2017.0
8,15.196,2017.0
3,15.196,2017.0
6,12.663,2017.0
10,12.663,2017.0
0,20.261,2017.0
9,20.261,2017.0
2,25.326,2017.0
4,10.131,2017.0
7,20.261,2017.0
5,17.729,2017.0
1,15.129,2018.0
4,12.607,2018.0
0,12.607,2018.0
8,15.129,2018.0
2,7.564,2018.0
10,20.171,2018.0
7,12.607,2018.0
9,5.043,2018.0
11,10.086,2018.0
5,15.129,2018.0
3,2.521,2018.0
6,7.564,2018.0
5,5.034,2019.0
1,5.034,2019.0
7,17.621,2019.0
2,5.034,2019.0
10,7.552,2019.0
4,25.172,2019.0
8,22.655,2019.0
11,2.517,2019.0
9,10.069,2019.0
0,17.621,2019.0
3,25.172,2019.0
6,12.586,2019.0
5,22.584,2020.0
1,22.584,2020.0
9,25.094,2020.0
7,15.056,2020.0
11,37.64,2020.0
4,15.056,2020.0
8,20.075,2020.0
0,17.566,2020.0
10,32.622,2020.0
3,0.0,2020.0
2,12.547,2020.0
6,12.547,2020.0
5,27.952,2021.0
10,17.788,2021.0
2,38.116,2021.0
9,30.493,2021.0
0,35.575,2021.0
4,17.788,2021.0
8,25.411,2021.0
11,30.493,2021.0
7,30.493,2021.0
3,27.952,2021.0
6,27.952,2021.0
1,12.705,2021.0
5,15.287,2022.0
0,25.478,2022.0
10,10.191,2022.0
2,30.574,2022.0
9,25.478,2022.0
4,15.287,2022.0
8,25.478,2022.0
11,28.026,2022.0
7,48.409,2022.0
3,12.739,2022.0
1,15.287,2022.0
6,20.383,2022.0
5,22.535,2023.0
2,37.559,2023.0
10,32.551,2023.0
9,22.535,2023.0
4,25.039,2023.0
8,17.528,2023.0
11,20.032,2023.0
7,22.535,2023.0
3,40.063,2023.0
1,15.024,2023.0
6,20.032,2023.0
0,22.535,2023.0
11,14.609,2024.0
2,21.913,2024.0
10,24.348,2024.0
9,14.609,2024.0
4,24.348,2024.0
8,7.304,2024.0
7,21.913,2024.0
3,24.348,2024.0
1,7.304,2024.0
0,14.609,2024.0
6,17.044,2024.0
5,26.783,2024.0
5,16.706,2025.0
11,14.319,2025.0
2,16.706,2025.0
10,16.706,2025.0
9,16.706,2025.0
4,16.706,2025.0
8,28.639,2025.0
1,11.933,2025.0
7,19.093,2025.0
0,19.093,2025.0
3,23.866,2025.0
6,16.706,2025.0
4,14.33,2026.0
7,14.33,2026.0
3,23.883,2026.0
